symbol,side,entry_time,exit_time,entry_price,exit_price,size,pnl,fees,tags,notes
DOGEUSDT,long,2026-01-14 23:33:08,2026-01-15 00:11:22,0.3292,0.3253,1.4974,-0.0064,-0.0006,loss|intraday,open=bg-20260625-00045-o close=bg-20260625-00045-c
DOGEUSDT,short,2026-01-15 00:48:10,2026-01-15 01:27:22,0.3292,0.3371,0.5534,-0.0046,-0.0002,loss|intraday,open=bg-20260625-00046-o close=bg-20260625-00046-c
ETHUSDT,long,2026-01-15 01:40:00,2026-01-15 01:54:37,3361.4182,3323.9722,0.5476,-22.7019,-2.1965,loss|scalp,open=bg-20260625-00047-o close=bg-20260625-00047-c
BTCUSDT,long,2026-01-15 02:26:41,2026-01-15 03:01:02,98848.2017,96903.8957,1.1808,-2434.5230,-138.6865,loss|intraday,open=bg-20260625-00048-o close=bg-20260625-00048-c
BTCUSDT,short,2026-01-15 03:45:33,2026-01-15 04:22:05,97466.2897,98995.2015,1.3122,-2160.9162,-154.6781,loss|intraday,open=bg-20260625-00049-o close=bg-20260625-00049-c
DOGEUSDT,long,2026-01-15 04:28:46,2026-01-15 04:56:59,0.3219,0.3195,0.5324,-0.0015,-0.0002,loss|scalp,open=bg-20260625-00050-o close=bg-20260625-00050-c
XRPUSDT,short,2026-01-15 05:16:44,2026-01-15 05:36:58,2.2678,2.2780,0.4291,-0.0056,-0.0012,loss|scalp,open=bg-20260625-00051-o close=bg-20260625-00051-c
SOLUSDT,long,2026-01-15 05:42:50,2026-01-15 06:01:02,191.3543,194.2005,0.4913,1.2847,-0.1136,win|scalp,open=bg-20260625-00052-o close=bg-20260625-00052-c
DOGEUSDT,short,2026-01-15 06:29:28,2026-01-15 06:44:08,0.3301,0.3318,0.1133,-0.0002,-0.0000,loss|scalp,open=bg-20260625-00053-o close=bg-20260625-00053-c
BTCUSDT,long,2026-01-15 06:48:11,2026-01-15 07:17:24,97533.7187,98225.4405,0.4986,286.3292,-58.5633,win|scalp,open=bg-20260625-00054-o close=bg-20260625-00054-c
BTCUSDT,long,2026-01-15 07:58:39,2026-01-15 09:10:31,97366.0334,99972.6441,1.4362,3573.5636,-170.0507,win|intraday,open=bg-20260625-00055-o close=bg-20260625-00055-c
SOLUSDT,short,2026-01-15 09:53:19,2026-01-15 11:02:46,190.0890,189.0108,1.3605,1.1574,-0.3095,win|intraday,open=bg-20260625-00056-o close=bg-20260625-00056-c
ETHUSDT,short,2026-01-15 11:21:17,2026-01-15 12:00:31,3281.1065,3255.1045,0.7386,16.3085,-2.8966,win|intraday,open=bg-20260625-00057-o close=bg-20260625-00057-c
ETHUSDT,short,2026-01-15 12:21:18,2026-01-15 13:33:32,3325.1372,3387.2033,0.4974,-32.8750,-2.0033,loss|intraday,open=bg-20260625-00058-o close=bg-20260625-00058-c
SOLUSDT,short,2026-01-15 13:41:07,2026-01-15 14:37:06,191.3210,192.5094,0.9098,-1.2907,-0.2095,loss|intraday,open=bg-20260625-00059-o close=bg-20260625-00059-c
DOGEUSDT,short,2026-01-15 15:10:15,2026-01-15 15:57:39,0.3294,0.3310,1.2752,-0.0026,-0.0006,loss|intraday,open=bg-20260625-00060-o close=bg-20260625-00060-c
SOLUSDT,long,2026-01-15 16:27:35,2026-01-15 17:38:58,194.1650,192.9461,0.8389,-1.2173,-0.1948,loss|intraday,open=bg-20260625-00061-o close=bg-20260625-00061-c
ETHUSDT,short,2026-01-15 17:55:11,2026-01-15 18:32:24,3277.3500,3336.0721,1.2061,-75.6106,-4.7859,loss|intraday,open=bg-20260625-00062-o close=bg-20260625-00062-c
BTCUSDT,short,2026-01-15 18:56:16,2026-01-15 19:26:13,96313.3555,95415.6769,0.7632,597.3118,-87.7965,win|scalp,open=bg-20260625-00063-o close=bg-20260625-00063-c
XRPUSDT,short,2026-01-15 19:52:53,2026-01-15 20:22:53,2.2701,2.2958,1.3457,-0.0383,-0.0037,loss|intraday,open=bg-20260625-00064-o close=bg-20260625-00064-c
BTCUSDT,long,2026-01-15 20:31:07,2026-01-15 20:49:33,96324.4876,96948.4118,0.5774,293.2963,-66.9575,win|scalp,open=bg-20260625-00065-o close=bg-20260625-00065-c
DOGEUSDT,short,2026-01-15 21:25:35,2026-01-15 22:10:18,0.3264,0.3323,0.3131,-0.0020,-0.0002,loss|intraday,open=bg-20260625-00066-o close=bg-20260625-00066-c
XRPUSDT,short,2026-01-15 22:14:08,2026-01-15 23:36:23,2.2780,2.2909,0.8745,-0.0137,-0.0024,loss|intraday,open=bg-20260625-00067-o close=bg-20260625-00067-c
XRPUSDT,short,2026-01-16 00:00:25,2026-01-16 00:38:50,2.2852,2.2442,0.8511,0.0326,-0.0023,win|intraday,open=bg-20260625-00068-o close=bg-20260625-00068-c
SOLUSDT,short,2026-01-16 00:45:27,2026-01-16 00:53:44,194.8626,196.0170,0.6113,-0.8491,-0.1434,loss|scalp,open=bg-20260625-00069-o close=bg-20260625-00069-c
SOLUSDT,short,2026-01-16 01:07:28,2026-01-16 02:48:10,194.8531,196.1331,1.3150,-1.9916,-0.3084,loss|intraday,open=bg-20260625-00070-o close=bg-20260625-00070-c
ETHUSDT,long,2026-01-16 03:11:58,2026-01-16 03:43:02,3279.2595,3247.5000,0.8591,-30.6489,-3.3643,loss|intraday,open=bg-20260625-00071-o close=bg-20260625-00071-c
XRPUSDT,short,2026-01-16 03:58:37,2026-01-16 04:24:14,2.2910,2.2362,0.1561,0.0082,-0.0004,win|scalp,open=bg-20260625-00072-o close=bg-20260625-00072-c
XRPUSDT,long,2026-01-16 04:37:48,2026-01-16 05:05:21,2.2501,2.2292,0.4756,-0.0111,-0.0012,loss|scalp,open=bg-20260625-00073-o close=bg-20260625-00073-c
SOLUSDT,short,2026-01-16 05:26:04,2026-01-16 06:14:35,193.5707,191.1975,0.6638,1.4220,-0.1533,win|intraday,open=bg-20260625-00074-o close=bg-20260625-00074-c
BTCUSDT,long,2026-01-16 06:32:15,2026-01-16 07:44:09,97146.8191,98398.8581,1.0305,1169.3203,-120.9059,win|intraday,open=bg-20260625-00075-o close=bg-20260625-00075-c
ETHUSDT,long,2026-01-16 08:15:29,2026-01-16 08:36:26,3331.2806,3267.1103,0.2442,-16.6372,-0.9668,loss|scalp,open=bg-20260625-00076-o close=bg-20260625-00076-c
SOLUSDT,long,2026-01-16 09:04:06,2026-01-16 09:39:22,191.4959,194.6680,0.8899,2.6168,-0.2061,win|intraday,open=bg-20260625-00077-o close=bg-20260625-00077-c
DOGEUSDT,short,2026-01-16 09:51:45,2026-01-16 10:12:03,0.3212,0.3257,0.9075,-0.0045,-0.0004,loss|scalp,open=bg-20260625-00078-o close=bg-20260625-00078-c
SOLUSDT,long,2026-01-16 10:41:16,2026-01-16 11:38:55,195.7159,198.7195,0.3493,0.9666,-0.0826,win|intraday,open=bg-20260625-00079-o close=bg-20260625-00079-c
