symbol,side,entry_time,exit_time,entry_price,exit_price,size,pnl,fees,tags,notes
ETHUSDT,short,2026-01-13 01:19:39,2026-01-13 02:48:13,3332.0860,3296.8942,0.2412,7.5290,-0.9593,win|intraday,open=bg-20260624-00011-o close=bg-20260624-00011-c
SOLUSDT,short,2026-01-13 03:32:49,2026-01-13 03:53:15,196.1065,192.4839,0.8113,2.7498,-0.1892,win|scalp,open=bg-20260624-00012-o close=bg-20260624-00012-c
ETHUSDT,short,2026-01-13 04:21:32,2026-01-13 05:12:42,3283.8905,3347.9809,0.3158,-21.4963,-1.2566,loss|intraday,open=bg-20260624-00013-o close=bg-20260624-00013-c
ETHUSDT,long,2026-01-13 05:38:16,2026-01-13 06:06:49,3301.6423,3326.3469,0.2028,4.2037,-0.8064,win|scalp,open=bg-20260624-00014-o close=bg-20260624-00014-c
ETHUSDT,short,2026-01-13 06:42:03,2026-01-13 07:38:34,3295.8040,3277.0742,1.1181,16.5323,-4.4095,win|intraday,open=bg-20260624-00015-o close=bg-20260624-00015-c
ETHUSDT,long,2026-01-13 08:05:01,2026-01-13 08:56:58,3291.9515,3317.7386,0.2623,5.7238,-1.0402,win|intraday,open=bg-20260624-00016-o close=bg-20260624-00016-c
XRPUSDT,short,2026-01-13 09:39:10,2026-01-13 10:02:22,2.3461,2.4307,1.1465,-0.1003,-0.0033,loss|scalp,open=bg-20260624-00017-o close=bg-20260624-00017-c
SOLUSDT,long,2026-01-13 10:38:30,2026-01-13 11:01:27,194.3663,195.4988,0.4021,0.3613,-0.0941,win|scalp,open=bg-20260624-00018-o close=bg-20260624-00018-c
SOLUSDT,long,2026-01-13 11:06:59,2026-01-13 11:51:12,194.7323,196.3138,1.4045,1.8917,-0.3295,win|intraday,open=bg-20260624-00019-o close=bg-20260624-00019-c
BTCUSDT,long,2026-01-13 12:00:13,2026-01-13 12:56:15,97499.9671,98623.3585,0.4975,500.3444,-58.5428,win|intraday,open=bg-20260624-00020-o close=bg-20260624-00020-c
ETHUSDT,long,2026-01-13 13:10:44,2026-01-13 13:31:04,3275.9953,3338.3976,0.5000,29.2168,-1.9843,win|scalp,open=bg-20260624-00021-o close=bg-20260624-00021-c
BTCUSDT,short,2026-01-13 14:08:16,2026-01-13 14:39:45,95594.3378,96052.0994,0.4306,-246.6259,-49.5138,loss|intraday,open=bg-20260624-00022-o close=bg-20260624-00022-c
SOLUSDT,short,2026-01-13 14:50:27,2026-01-13 15:36:57,199.8193,197.5456,1.3658,2.7798,-0.3256,win|intraday,open=bg-20260624-00023-o close=bg-20260624-00023-c
ETHUSDT,short,2026-01-13 15:55:09,2026-01-13 16:12:30,3295.4137,3266.9198,1.1592,28.4659,-4.5642,win|scalp,open=bg-20260624-00024-o close=bg-20260624-00024-c
XRPUSDT,long,2026-01-13 16:21:16,2026-01-13 16:43:36,2.3320,2.3481,0.8454,0.0112,-0.0024,win|scalp,open=bg-20260624-00025-o close=bg-20260624-00025-c
DOGEUSDT,short,2026-01-13 17:17:32,2026-01-13 18:07:56,0.3212,0.3109,1.2718,0.0127,-0.0004,win|intraday,open=bg-20260624-00026-o close=bg-20260624-00026-c
DOGEUSDT,short,2026-01-13 18:52:25,2026-01-13 19:49:11,0.3234,0.3194,0.0873,0.0003,-0.0000,win|intraday,open=bg-20260624-00027-o close=bg-20260624-00027-c
DOGEUSDT,short,2026-01-13 20:27:10,2026-01-13 21:00:35,0.3228,0.3202,0.4459,0.0010,-0.0002,win|intraday,open=bg-20260624-00028-o close=bg-20260624-00028-c
XRPUSDT,short,2026-01-13 21:13:05,2026-01-13 21:39:26,2.3588,2.3827,0.7777,-0.0208,-0.0022,loss|scalp,open=bg-20260624-00029-o close=bg-20260624-00029-c
DOGEUSDT,long,2026-01-13 22:17:00,2026-01-13 22:50:03,0.3203,0.3264,0.6806,0.0040,-0.0002,win|intraday,open=bg-20260624-00030-o close=bg-20260624-00030-c
ETHUSDT,long,2026-01-13 23:00:40,2026-01-14 00:00:01,3325.4911,3299.4085,1.4230,-42.7718,-5.6563,loss|intraday,open=bg-20260624-00031-o close=bg-20260624-00031-c
SOLUSDT,short,2026-01-14 00:11:53,2026-01-14 01:05:35,196.8929,201.9745,0.8032,-4.2737,-0.1922,loss|intraday,open=bg-20260624-00032-o close=bg-20260624-00032-c
SOLUSDT,long,2026-01-14 01:09:30,2026-01-14 01:17:55,196.1763,196.9958,0.9532,0.5562,-0.2249,win|scalp,open=bg-20260624-00033-o close=bg-20260624-00033-c
BTCUSDT,long,2026-01-14 01:44:38,2026-01-14 04:09:45,97580.6444,98902.1261,1.0241,1232.5986,-120.7308,win|intraday,open=bg-20260624-00034-o close=bg-20260624-00034-c
DOGEUSDT,short,2026-01-14 04:17:45,2026-01-14 05:04:33,0.3245,0.3202,0.8571,0.0033,-0.0004,win|intraday,open=bg-20260624-00035-o close=bg-20260624-00035-c
BTCUSDT,long,2026-01-14 05:32:25,2026-01-14 06:16:47,95430.7115,97446.9311,0.4450,845.7194,-51.4983,win|intraday,open=bg-20260624-00036-o close=bg-20260624-00036-c
SOLUSDT,long,2026-01-14 06:51:31,2026-01-14 08:09:53,197.9455,201.2612,1.3824,4.2525,-0.3311,win|intraday,open=bg-20260624-00037-o close=bg-20260624-00037-c
BTCUSDT,long,2026-01-14 08:33:18,2026-01-14 08:48:12,96920.1839,97362.6521,1.4210,463.1018,-165.6455,win|scalp,open=bg-20260624-00038-o close=bg-20260624-00038-c
ETHUSDT,short,2026-01-14 09:08:26,2026-01-14 09:23:14,3339.0595,3323.3706,1.1040,12.9073,-4.4132,win|scalp,open=bg-20260624-00039-o close=bg-20260624-00039-c
ETHUSDT,long,2026-01-14 09:57:34,2026-01-14 10:52:47,3328.2266,3391.4826,0.7649,45.3005,-3.0840,win|intraday,open=bg-20260624-00040-o close=bg-20260624-00040-c
SOLUSDT,short,2026-01-14 10:57:51,2026-01-14 11:36:45,199.1962,201.2120,0.6666,-1.5039,-0.1602,loss|intraday,open=bg-20260624-00041-o close=bg-20260624-00041-c
ETHUSDT,short,2026-01-14 11:55:05,2026-01-14 12:23:33,3372.9009,3424.0440,0.3673,-20.2828,-1.4979,loss|scalp,open=bg-20260624-00042-o close=bg-20260624-00042-c
BTCUSDT,short,2026-01-14 12:51:16,2026-01-14 13:07:14,95271.6023,96748.1735,1.1855,-1887.0589,-136.5837,loss|scalp,open=bg-20260624-00043-o close=bg-20260624-00043-c
XRPUSDT,long,2026-01-14 13:51:29,2026-01-14 14:34:38,2.3139,2.3397,0.8933,0.0205,-0.0025,win|intraday,open=bg-20260624-00044-o close=bg-20260624-00044-c
SOLUSDT,short,2026-01-14 14:58:55,2026-01-14 15:16:48,196.8206,195.5423,0.4998,0.5213,-0.1176,win|scalp,open=bg-20260624-00045-o close=bg-20260624-00045-c
BTCUSDT,short,2026-01-14 15:26:05,2026-01-14 16:26:48,96040.4005,98024.8036,0.1014,-213.0254,-11.8069,loss|intraday,open=bg-20260624-00046-o close=bg-20260624-00046-c
DOGEUSDT,long,2026-01-14 17:07:18,2026-01-14 17:55:14,0.3281,0.3225,0.7519,-0.0044,-0.0002,loss|intraday,open=bg-20260624-00047-o close=bg-20260624-00047-c
ETHUSDT,short,2026-01-14 18:05:50,2026-01-14 18:48:59,3354.0774,3368.4445,0.4548,-8.3687,-1.8345,loss|intraday,open=bg-20260624-00048-o close=bg-20260624-00048-c
BTCUSDT,long,2026-01-14 18:54:10,2026-01-14 19:46:13,95306.4096,97242.9710,0.6538,1190.5905,-75.5333,win|intraday,open=bg-20260624-00049-o close=bg-20260624-00049-c
DOGEUSDT,short,2026-01-14 20:13:14,2026-01-14 20:48:09,0.3232,0.3290,0.2624,-0.0017,-0.0002,loss|intraday,open=bg-20260624-00050-o close=bg-20260624-00050-c
BTCUSDT,short,2026-01-14 21:17:30,2026-01-14 21:29:53,96432.4190,94251.8476,0.5254,1085.5608,-60.1114,win|scalp,open=bg-20260624-00051-o close=bg-20260624-00051-c
BTCUSDT,short,2026-01-14 21:56:46,2026-01-14 22:35:19,97370.5151,95255.7765,1.2964,2591.7146,-149.8325,win|intraday,open=bg-20260624-00052-o close=bg-20260624-00052-c
BTCUSDT,short,2026-01-14 22:49:17,2026-01-14 23:00:28,96497.3308,97439.6515,1.3071,-1383.8044,-152.0970,loss|scalp,open=bg-20260624-00053-o close=bg-20260624-00053-c
BTCUSDT,long,2026-01-14 23:43:03,2026-01-15 00:45:56,96915.3576,97993.3486,0.1125,108.1176,-13.1564,win|intraday,open=bg-20260624-00054-o close=bg-20260624-00054-c
ETHUSDT,short,2026-01-15 01:20:11,2026-01-15 01:50:01,3356.7297,3324.7494,1.0101,28.2539,-4.0494,win|scalp,open=bg-20260624-00055-o close=bg-20260624-00055-c
XRPUSDT,long,2026-01-15 02:20:40,2026-01-15 03:01:54,2.3119,2.2997,1.3839,-0.0207,-0.0038,loss|intraday,open=bg-20260624-00056-o close=bg-20260624-00056-c
BTCUSDT,short,2026-01-15 03:18:50,2026-01-15 03:57:41,97641.4682,99066.1587,0.7625,-1176.3203,-89.9938,loss|intraday,open=bg-20260624-00057-o close=bg-20260624-00057-c
DOGEUSDT,long,2026-01-15 04:28:36,2026-01-15 05:13:04,0.3233,0.3287,1.0219,0.0051,-0.0004,win|intraday,open=bg-20260624-00058-o close=bg-20260624-00058-c
DOGEUSDT,long,2026-01-15 05:25:23,2026-01-15 07:46:37,0.3292,0.3359,0.2488,0.0016,-0.0001,win|intraday,open=bg-20260624-00059-o close=bg-20260624-00059-c
